<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #009966;">The troubleaker</a> says:</b><span style="color:#009966"><font color = white> Test</font></font></font></span></span>
<br><font size=-3><font color = white><font color=#00cc99><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #00cc99;">The troubleaker</a> testr</font></font></font>
<br><font size=-3><font size=-4><font color=#99cc00><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #99cc00;">The troubleaker</a> OOCs<font color = white>: (test)</font></font></font>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #009966;">The commanding man</a> asks:</b><span style="color:#009966"><font color = white> Any help needed?</font></font></font></span></span>
<br><font size=-3><b><span style="color:#99cc00"><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #99cc00;">The troubleaker</a> says:</b><span style="color:#99cc00"><font color = white> test</font></font></font></span></span>
<br><font size=-3><b><span style="color:#99cc00"><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #99cc00;">The troubleaker</a> asks:</b><span style="color:#99cc00"><font color = white> Yes are you still here?</font></font></font></span></span>
<br><font size=-3><b><span style="color:#666699"><a href=?src=[0x3000043];action=name;character=78e2b855c868e451d8124890a6c3786bb2f9e33572d254dc6ae8d5fc4259f715 style = "text-decoration: none; color: #666699;">The boy with many arms</a> says:</b><span style="color:#666699"><font color = white> test</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> says:</b><span style="color:#aa8c5a"><font color = white> test</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #009966;">The commanding man</a> asks:</b><span style="color:#009966"><font color = white> Miss anyon?</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> says:</b><span style="color:#aa8c5a"><font color = white> me</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #009966;">The commanding man</a> asks:</b><span style="color:#009966"><font color = white> Wut ya need?</font></font></font></span></span>
